cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
Ugx8i-x6P7Zmqc66dO54AaABAg,Sedih klo sudah lihat eksploitasi Papua😢 rakyatnya terlantar terabaikan pemerintah,1 month ago,@jendelaku5833,UC4sK7iOUiE4XGbpPsjCN64g,0,,https://yt3.ggpht.com/qrZ7ryuhziizyuiTKpsZ5nzA64jMi5SMcOVb78WC5xUVSyoYRQEoKZqHn1fnKA4_tSNiED913A=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.089582,
UgwdIIvkByWwHeXqouN4AaABAg,"Ada film iin munculi karena 10thn  rezim ijazah palsu oligarki makin biadab 11 12 sama si ijazah palsu, 10thn era sby okigarki sadh brengksek, makin parah lgi era manusia pembohong",1 month ago,@ahmadtaufikh7640,UCvtCRi7G1doRzRWm-5FYzpw,0,,https://yt3.ggpht.com/ytc/AIdro_m4jJbEjL0SIaIOtfApQMcEAEbnC-hAy2naWEzpzZ-wcWvyVBEhmP2ZNn6PyBDPQpvKQA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.354143,
UgxPwOaNf7rGZUufdjd4AaABAg,"Dulu gw mikir KKB itu teroris, pembunuh, dan kelompok2 radikal yg mau Papua merdeka krn termakan propaganda media2 di Indonesia yg menyudutkan KKB dan memberikan apresiasi setinggi2nya utk TNI yg berhasil menaklukan KKB or mati syahid krn perang melawan KKB. Skrg gw tersadar TNI2 yg gugur itu tidaklah syahid, mereka mati bodoh krn mau membela rezim yg dzalim kpd rakyatnya. KKB di Papua mirip dgn Hamas di Palestina, dituduh dan dicap sbg radikal dan teroris oleh propaganda org2, elite politik yg berduit dan yg berkuasa utk kepentingan kelompok tertentu. Eksistensi mrk hanyalah utk mempertahankan tanah yg mrk punya, menjaga keamanan dan keberlangsungan hidup penduduk dan makhluk hidup yg tersisa 😢😢 Ya Allah, sedih bangetttt...Free Papua! Pemerintah dan penguasa Indonesia sungguh bnr2 sdh dzalim pd rakyatnya, semoga Allah memberikan hidayah dan ilmu agama yg benar kpd mereka supaya mereka cepat sadar dan bertobat dan semoga Allah melindungi rakyat ini dari kedzaliman pemimpin yg serakah dan tamak, aamiin",1 month ago,@99frenzie,UCodZguReKsgmoVVgjmU9MzQ,1,,https://yt3.ggpht.com/ytc/AIdro_nbIRpRoYqRgJ2spNIQtwabq6ir18ziB_GIrg8eyjIddwsRWvvxJsp8Y8bqRYKGYd7v5A=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.35855,
UgwPslhBOcu1Fchlk-R4AaABAg,🔥 Ayo Sebarkan Ke Seluruh Dunia Kejahatan Pemerintah Indonesia  terhadap Rakyat Papua.,1 month ago,@blackjack7761,UCojdM2i0qXnQBFcSzsK2cFw,0,,https://yt3.ggpht.com/ytc/AIdro_npnRV66peee8IvEucFaZKi9i9eoKqb3rhhYnoPHJE=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.36545,
UgzYuqNuO2COSVwYKE14AaABAg,"Jangan kasih pemerintah 

bakal rugi terus BUMN, Kuasai sendiri saja wahai rakyat papua",1 month ago,@wicakanggoro1206,UCeZG33kSa1FU_LArEQy2V5g,1,,https://yt3.ggpht.com/ytc/AIdro_lsQOtqqTpQURanZal9k8AVT9uKPUAYIDRLaDqi3-udygLykmxyIa4xrw6b5fH9sz5sqg=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.368663,
UgyqsMp9CJ_Qi7XSCmZ4AaABAg,"Sawit sumatra gagal bertahan gara"" banjir, lanjut ke papua, Jahatnya Pemerintah RI💔",1 month ago,@salesatu9835,UCGmIriNKvnIAbeye7_7r2kg,0,,https://yt3.ggpht.com/ytc/AIdro_kQmoKU8jutFWahUO7_VzxGZDtZUKEyDA85aZRpQ-gUz-JKqbFVN4C9rKZwBSJ3zld_cg=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.37333,
Ugxl6YCtejSorK4YOw14AaABAg,We need an English version to spread the issues internationally!,1 month ago,@callistaeucia9012,UCh-e8Fw_oyR2FzYmH13GTDA,0,,https://yt3.ggpht.com/ytc/AIdro_nEaD_Rk3gYEqhmikjMp7vwgj1kjo_1clhZVFPoWzf4kyAVnj5RvUUogQGgDuScZLz2rA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.377413,
UgyI0RMYLEx8G-T3gV94AaABAg,KL buat lahan sawah ok lah KL buat nyawitt cukup jgn...  Beri rakyat Papua beras gratis dr lahan sejuta hektar,1 month ago,@dshaygimui,UCcvAdjbEXqEP7YtiXmKyHhQ,0,,https://yt3.ggpht.com/ytc/AIdro_lKbWWeKUicTgfxmi1qOrIWsdLPU80zLPMwD9WgB0I=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.380842,
Ugw9nAtb6154j8ncsBV4AaABAg,tes,1 month ago,@iwanyulianto1954,UCPtqJUEdUfBKwQ1U-kLVihg,0,,https://yt3.ggpht.com/ytc/AIdro_nSAl1PhFRkcB9nd-h-ucZPqL5gl66Q8FSZZaeYMxYlcsI=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.384897,
Ugxy6q3uMJFwUnsjE_14AaABAg,Ya ampun,1 month ago,@FEBRY7457,UCfIZurONcH4cUh_vbAZIJvw,0,,https://yt3.ggpht.com/K0-CRTvdpAUKNmal7_rn7XZ0wxsObCTuEpajbKNYZUnzZNF53taJawrgc1A_8Cnj6psMd94AQ-Y=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.388922,
UgyNBu1_m2QmuEYDyKJ4AaABAg,Papua merdeka,1 month ago,@yogaabdinegara,UCPVON9F0ePLkeNeoL_UTK-w,0,,https://yt3.ggpht.com/ruGNWueYOM0TXne27E190d1md9CTHv5kPZNUhsIghEZzq0RkFavJ94Dy7UQhn1ydk20LEQOcTw=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.393126,
UgxRl-rzVMhZ5hu_hAJ4AaABAg,Indonesia semakin kacau.. karena pemimpin yang tidak bijak. SAVE PAPUA ❤️,1 month ago,@fictorchester2402,UC9nGKrE2zKz_aAdD3TbEfMw,0,,https://yt3.ggpht.com/RLuKqtPX2aj7NOjMEfqtMe2INHD4bBBzpFGP_74FWQzGo2V1qmSGn03y01HOyKZ7hpcd7InW=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.397335,
UgzxwC2UtUnFtqptzrB4AaABAg,"tidak gampang mengelola negara dengan mayoritas tingkat literasi rendah, gampang dihasut, gampang diprovokasi, gampang di cuci otak.
hidup indonesia raya!
hidup papua!",1 month ago,@ezpz5772,UCgV_cfxJb6ZqZ2Uk1Z5txag,0,,https://yt3.ggpht.com/ytc/AIdro_nJ2oxC_UwN0zVZFgNpVhYiGbTDntzzg1vK4jo6p1o=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.401363,
UgzxA3cxvqG5c0gGReR4AaABAg,Kenapa film kayak gini di banned dri negara padahal ini mengangkat isu isu yg terkait tentang alam,1 month ago,@Agent_Zilla15,UCgCDqoYs_-3hEk8Fe1KYMxw,0,,https://yt3.ggpht.com/TKThZR60wzYvhJs56f6JqFBtinW8yf_bAGQuScUMuk6xHPSRh77i-cxORm9X4j0wB-0NnZgV=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.405416,
UgxTHcyuAnd0LANx2654AaABAg,Kerusakan terjadi semua ulah Mulyono ...dan Wowo hanya anteknya untuk melanjutkan kerakusannya,1 month ago,@umbusony,UCLHycH__gtwpB7DtjKnnXcw,0,,https://yt3.ggpht.com/QLXEBI6SKsrS-e4aWd6yYeyYTMRn6sfPZGzoIdt5WhqZIkj5Sks4mS56QYGEQL_GtW0EYYCY=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.409381,
UgxQRh5gHQXyOJVNcdt4AaABAg,Astaghfirullah ya Rabb bukan tidak Allah ciptakan musibah dan bencana kecuali itu datang dari tangan manusia sendiri..... Law Hawla wallah Quwwata Illa  Billah....... Astaghfirullah ya Rabb,1 month ago,@Wied3R,UCDEl2ebnCzu8GUzmE_Ynj4g,0,,https://yt3.ggpht.com/ytc/AIdro_kIf0PlGxS9LwKxppQVov5u0hFtgPeNCW-rOh6gNvvnKpT4SStrhyfLIw9gMGgjS8B-Hw=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.413281,
UgwzM1UkhP_fOlBIytd4AaABAg,"Mari Kita Merdeka dari Konoha , kita buat negara sendiri sendiri! Daripada tanah kita dirampok,dirusak dan dimiliki oleh Pejabat babi babi Setan !",1 month ago,@PrasSasta,UCUAVgILRKlvh5IOHB474_NA,0,,https://yt3.ggpht.com/ytc/AIdro_nusKmZATTFepe_OlKa8JyO-6iYOa1X47MpI9Y2RzmxHnb3yNgJRjgNAhXoZlMjqL8eQA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.417084,
UgwY6FDaH6bLf88TVxZ4AaABAg,"GEROMBOLAN KKB OPM SEDANG MENYEBAR FITNAH FITNAH.
ORANG YANG CERDAS GAK MUNGKIN TERMAKAN FITNAH FITNAH",1 month ago,@s.harianto5836,UCKEjzFzciN0cuP_5IoL3okQ,0,,https://yt3.ggpht.com/ytc/AIdro_nP6r6Qnz4-K5TKNl4oQWJF5-2njrqD94xSeGucL18q4Ls=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.420801,
Ugy54USKtzGsVhvUzdZ4AaABAg,Miris,1 month ago,@bagusytchanel5092,UCBhGw4699R01SM1zGHM0suQ,0,,https://yt3.ggpht.com/pWIIKCHzys91aGahlGxNRBH46YMGOyCAE1Nxl97crSXCEGJ9HCbd6u-n_swZTAgCQX3wrlTkGE8=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.424461,
UgzG0HcxkbZ7LmzCRx14AaABAg,"Ayolah TNI, kmana dirimu berpihak",1 month ago,@mashabillah6673,UCBt5V9XEWAKbHGM-enR0yiw,0,,https://yt3.ggpht.com/ytc/AIdro_mzwk73fmnfDwFs4aca8l6kkQx6GyTAVAtENSyHlH_Zex_oOyaCVbcQl_w7mzDMX7MLRg=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.42812,
Ugw1YP2mJGhN-So-amx4AaABAg,"Papua bukan tanah kosong.. 🙏
Jangan usir kami dari atas tanah kami sendiri.. 🤝",1 month ago,@ondykeleuw90,UCogj5q5C-nlNl_ajwCWFc2g,0,,https://yt3.ggpht.com/FMUGHtUiJqaZRhVBUh33d33y64lwuYGSHrZmU9LVmPL_ieIdCSnG3KGwdjwX8iq9AJWu8RyEoQ=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.431718,
Ugxk0kayPsRS_BaowtN4AaABAg,proyek pilpres 2029 si gendut,1 month ago,@BTLzoneyt,UCx7s-csDYC3_DVRHMDVLtQA,0,,https://yt3.ggpht.com/8iqaMepb4UX-7gK-_HzBfeaaTEa6UVSieZs1FgOE-TA_lCnkU9uD93P-gb8YZOpFNJ-sQOoF=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.687199,
